s	Product	Department	Dept_Name	Year	Month	Sales	Transactions	Items
3338320038	O.Strawberries 16oz pkg	2	PRODUCE	2014	5	21358.65	3243	3538
151	Banana Organic	2	PRODUCE	2015	8	21319.16	10475	10691
151	Banana Organic	2	PRODUCE	2015	7	21315.13	10813	11007
338	O.Blueberries WI pint	2	PRODUCE	2016	8	21264.5	2976	3151
3338320038	O.Strawberries 16oz pkg	2	PRODUCE	2015	5	21158.82	3444	3773
8026	Gift Card Sold	15	MISC P/I	2013	12	21034	311	419
51	BANANA Organic	2	PRODUCE	2010	1	21006.28	10201	10474
51	BANANA Organic	2	PRODUCE	2013	11	20820.84	9115	9349
320	Peach Colorado Organic	2	PRODUCE	2015	8	20720.51	4270	4309
11	BROCCOLI Organic	2	PRODUCE	2013	11	20716.62	3678	3706
151	Banana Organic	2	PRODUCE	2017	1	20655.1	9551	9811
51	BANANA Organic	2	PRODUCE	2014	2	20580.94	8548	8795
151	Banana Organic	2	PRODUCE	2016	1	20572.62	9290	9533
11	BROCCOLI Organic	2	PRODUCE	2011	1	20457.27	4666	4691
51	BANANA Organic	2	PRODUCE	2013	1	20399.93	8756	8995
51	BANANA Organic	2	PRODUCE	2013	8	20319.55	10068	10308
320	Peach Colorado Organic	2	PRODUCE	2012	8	20306.41	3758	3689
3338320038	O.Strawberries 16oz pkg	2	PRODUCE	2012	4	20298.57	3759	4104
3338322230	O.Blueberries pint	2	PRODUCE	2011	7	20283.86	4661	5850
151	Banana Organic	2	PRODUCE	2016	4	20276.95	9909	10188
151	Banana Organic	2	PRODUCE	2015	9	20270.55	10457	10682
151	Banana Organic	2	PRODUCE	2014	11	20151.22	9346	9621
11	BROCCOLI Organic	2	PRODUCE	2011	4	20122.49	4204	4221
99	Wedge Cookie	8	DELI	2015	5	20083.63	5929	6900
51	BANANA Organic	2	PRODUCE	2012	10	20028.16	9720	9936
8027	Member Class-C Share Purchase	15	MISC P/I	2014	6	20000	1	1
8027	Member Class-C Share Purchase	15	MISC P/I	2014	7	20000	2	2
51	BANANA Organic	2	PRODUCE	2010	6	19947.89	11550	11881
338	O.Blueberries WI pint	2	PRODUCE	2014	8	19922.74	2787	2971
151	Banana Organic	2	PRODUCE	2015	2	19846.16	8338	8611
51	BANANA Organic	2	PRODUCE	2011	6	19815.58	11915	12201
311	Cherries Bing/Red Organic	2	PRODUCE	2014	7	19665.98	1935	1903
51	BANANA Organic	2	PRODUCE	2012	7	19651.48	9558	9766
51	BANANA Organic	2	PRODUCE	2010	10	19621.78	11203	11489
51	BANANA Organic	2	PRODUCE	2010	2	19609.89	9552	9772
51	BANANA Organic	2	PRODUCE	2011	10	19573.42	11505	11850
51	BANANA Organic	2	PRODUCE	2012	12	19477.35	8617	8857
51	BANANA Organic	2	PRODUCE	2013	2	19408.71	8256	8478
51	BANANA Organic	2	PRODUCE	2013	9	19311.55	9173	9379
51	BANANA Organic	2	PRODUCE	2013	12	19278.38	8695	8922
51	BANANA Organic	2	PRODUCE	2012	8	19262.78	9827	10072
51	BANANA Organic	2	PRODUCE	2011	2	19229.99	10182	10461
151	Banana Organic	2	PRODUCE	2014	12	19221.79	8952	9235
3338320038	O.Strawberries 16oz pkg	2	PRODUCE	2013	6	19209.68	3501	3881
