Date	Hour	Sales	Transactions	Items
1/15/2010	22	148.82	5	47
1/16/2010	8	-8.89	1	-1
1/16/2010	9	4061.23	85	1069
1/16/2010	10	4764.77	103	1390
1/16/2010	11	7053.55	143	1839
1/16/2010	12	6454.07	132	1671
1/16/2010	13	8845.69	168	2364
1/16/2010	14	6803.91	136	1885
1/16/2010	15	8040.07	173	2268
1/16/2010	16	8727.86	178	2445
1/16/2010	17	8162.51	173	2382
1/16/2010	18	6954.99	162	2083
1/16/2010	19	3042.92	74	817
1/16/2010	20	3028.74	73	856
1/16/2010	21	33.32	2	17
1/17/2010	8	5.51	1	4
1/17/2010	9	3371.12	69	957
1/17/2010	10	6912.98	124	1798
1/17/2010	11	8098.81	173	2378
1/17/2010	12	5601.59	141	1650
1/17/2010	13	6594.98	140	1989
1/17/2010	14	6429.38	141	1903
1/17/2010	15	7371.35	154	2057
1/17/2010	16	8078.46	174	2283
1/17/2010	17	6727.93	151	1961
1/17/2010	18	7177.32	150	1962
1/17/2010	19	4211.74	97	1236
1/17/2010	20	2821.61	59	846
1/17/2010	21	50.57	2	15
1/18/2010	8	49.38	1	10
1/18/2010	9	1878.09	54	529
1/18/2010	10	3288.43	80	908
1/18/2010	11	6314.18	139	1770
1/18/2010	12	5059.51	119	1477
1/18/2010	13	6476.44	138	1788
1/18/2010	14	6713.96	166	1992
1/18/2010	15	6532.78	161	1880
1/18/2010	16	6463.71	136	1890
1/18/2010	17	6186.58	138	1832
1/18/2010	18	5929.84	134	1815
1/18/2010	19	3874.01	105	1242
1/18/2010	20	2417.83	67	731
1/18/2010	21	2562.25	59	740
1/19/2010	9	1281.75	40	368
1/19/2010	10	3605.51	80	1035
1/19/2010	11	3906.15	86	1183
1/19/2010	12	4404.06	109	1215
1/19/2010	13	4281.04	116	1167
1/19/2010	14	6042.61	134	1539
1/19/2010	15	4287.53	125	1284
1/19/2010	16	5045.14	142	1559
1/19/2010	17	5945.9	148	1743
1/19/2010	18	5331.33	149	1551
1/19/2010	19	4578.25	113	1341
1/19/2010	20	3477.14	106	1048
1/19/2010	21	2251.27	64	674
